Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
j-cole-cole-world-sideline-story,J. Cole - Cole World : Sideline Story,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Conscious, Hip Hop, LP, Roc Nation, Unofficial Release, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b27399da48a530f6ca2ef86da3cc,1,J. Cole - Cole World : Sideline Story,FALSE,J. Cole - Cole World : Sideline Story | Village Record Club,J. Cole - Cole World : Sideline Story is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-cole-born-sinner,J. Cole - Born Sinner,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Bystorm Entertainment, Deluxe Edition, Dreamville, GZ Media, Hip Hop, Interscope Records, LP, Pop Rap, Reissue, UMG Commercial Services, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,1,J. Cole - Born Sinner,FALSE,J. Cole - Born Sinner | Village Record Club,J. Cole - Born Sinner is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-cole-4-your-eyez-only,J. Cole - 4 Your Eyez Only,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Conscious, Dreamville, Hip Hop, Inc., Interscope Records, Jazzy Hip-Hop, LP, Roc Nation, Sterling Sound, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b273f4ca75192df162f78a24023e,1,J. Cole - 4 Your Eyez Only,FALSE,J. Cole - 4 Your Eyez Only | Village Record Club,J. Cole - 4 Your Eyez Only is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-cole-2014-forest-hills-drive,J. Cole - 2014 Forest Hills Drive,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Bystorm Entertainment, Columbia, Columbia Records, Conscious, Dreamville, Hip Hop, LP, Memphis Record Pressing, Nashville Record Productions, Roc Nation, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,1,J. Cole - 2014 Forest Hills Drive,FALSE,J. Cole - 2014 Forest Hills Drive | Village Record Club,J. Cole - 2014 Forest Hills Drive is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-dilla-the-diary-instrumentals,J Dilla - The Diary (Instrumentals),,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Hip Hop, Instrumental, LP, Mass Appeal, Pay Jay Productions, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b27383bb78285449998bb974da45,1,J Dilla - The Diary (Instrumentals),FALSE,J Dilla - The Diary (Instrumentals) | Village Record Club,J Dilla - The Diary (Instrumentals) is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-dilla-the-diary,J Dilla - The Diary,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"45 RPM, 7"", Album, All Media, Bling 47 Group, Dearborn Heights, DMP, Elysian Masters, FirstCom Music, Hi-Tek Productions, Hip Hop, House Shoes Recordings, Inc., Karriem Riggins Music, Limited Edition, LP, Madlib Invazion, Mass Appeal, MI, Pay Jay Productions, Record Store Day, Soul Brother Number 1 Productions, Studio A, Teamsta Entertainment L.L.C., The Spaceship, Traffic Entertainment Group, Vinyl, Warner Bros. Records",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b273cb7337a402c43ebaf0f1d0f7,1,J Dilla - The Diary,FALSE,J Dilla - The Diary | Village Record Club,J Dilla - The Diary is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-dilla-ruff-draft-dillas-mix-the-instrumentals,J Dilla - Ruff Draft: Dilla's Mix The Instrumentals,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Conscious, Hardcore Hip-Hop, Hip Hop, Instrumental, LP, Pay Jay Productions, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b27372260794c227425fb33a7000,1,J Dilla - Ruff Draft: Dilla's Mix The Instrumentals,FALSE,J Dilla - Ruff Draft: Dilla's Mix The Instrumentals | Village Record Club,J Dilla - Ruff Draft: Dilla's Mix The Instrumentals is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-dilla-ruff-draft-dillas-mix,J Dilla - Ruff Draft: Dilla's Mix,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Clinton Township, Conscious, Dearborn Heights, Electric Mastering, Hardcore Hip-Hop, Hip Hop, Inc., Instrumental, LP, MI, Pay Jay Productions, Payday Productions, Payjay Productions, Record Store Day, Spaceship, Stereo, Studio A, Traffic Entertainment Group, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b27361cf94fc3907f875365b35b8,1,J Dilla - Ruff Draft: Dilla's Mix,FALSE,J Dilla - Ruff Draft: Dilla's Mix | Village Record Club,J Dilla - Ruff Draft: Dilla's Mix is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-dilla-motor-city,J Dilla - Motor City,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Hip Hop, Instrumental, Limited Edition, LP, Nature Sounds, Official Ma Dukes, Rainbo Records, Vintage Vibez Music Group, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b273985328a5b3224e6892417da4,1,J Dilla - Motor City,FALSE,J Dilla - Motor City | Village Record Club,J Dilla - Motor City is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-dilla-jay-stay-paid,J Dilla - Jay Stay Paid,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Hip Hop, Instrumental, LP, Mummy Records, Nature Sounds, Trutone Mastering Labs, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b2732c6b9259351cfd761f61fc39,1,J Dilla - Jay Stay Paid,FALSE,J Dilla - Jay Stay Paid | Village Record Club,J Dilla - Jay Stay Paid is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
